Project Name,Project Type,URL to project,Founded year (project),Industries,Usecases,5 word review,Description (from online)
European Investment Bank,Government,https://www.eib.org/en/press/all/2021-141-european-investment-bank-eib-issues-its-first-ever-digital-bond-on-a-public-blockchain,2021,Capital Markets,"Asset Tokenization,Tokenized bonds",EIB’s 100M bond sale,"On 27 April 2021, the EIB launched a digital bond issuance on a blockchain platform, deploying this distributed ledger technology for the registration and settlement of digital bonds, in collaboration with Goldman Sachs, Santander and Societe Generale.

In a partnership with Banque de France, the payment of the issue monies from the underwriters to the EIB has been represented on the blockchain in the form of CBDC.

The EIB believes that the digitalisation of capital markets may bring benefits to market participants in the coming years, including a reduction of intermediaries and fixed costs, better market transparency through an increased capacity to see trading flows and identity of asset owners, as well as a much faster settlement speed."
Socgen FORGE,Corporate,https://www.sgforge.com/,,Capital Markets,"Asset Tokenization,Tokenized bonds",Blockchain Bond Issuance,"This live transaction explores a more efficient process for bond issuances. Many areas of added value are predicted, among which, product scalability and reduced time to market, computer code automation structuring, thus better transparency, faster transferability and settlement. It proposes a new standard for issuances and secondary market bond trading and reduces cost and the number of intermediaries."
OEKB CSD,Corporate,,2018,Capital Markets,"Asset Tokenization,Tokenized bonds",Bond Issuance on Ethereum,In 2018: Austria’s government is set to use the Ethereum public blockchain to issue €1.15 billion ($1.35 billion) of government bonds in an auction next week
Commonwealth Bank of Australia,Corporate,,,Capital Markets,Exchanges & Trading,Custody / exchange for 6.5M users,"Commonwealth Bank will allow its customers to hold and use bitcoin and other cryptocurrencies via its 6.5 million-user banking app in a bid to appeal to young customers and keep pace with rivals such as Square and PayPal, which already allow users to trade and spend bitcoin."
Santander Bonds,Corporate,https://www.santander.com/en/stories/blockchain-security-and-transparency-at-the-service-of-banking,,Capital Markets,"Asset Tokenization,Tokenized bonds",Blockchain Bond Issuance,Banco Santander today announced that it has issued the first end-to-end blockchain bond. The bank issued the bond directly onto the blockchain and the bond will also continue to exist only on the blockchain: a first step towards a potential secondary market for mainstream security tokens in the future.
Santander used car marketplace?,Corporate,,,Capital Markets,Asset Tokenization,Real estate / used cars,Partnered with Parfin to make this and part of a government incubator
Nivaura,Startup,https://www.nivaura.com/,2016,Capital Markets,"Asset Tokenization,Clearing & Settlements",Capital Market Workflows,"Nivaura provided the automated workflow platform and integration with public DLT for asset creation, settlement and payment administration"
Agrotoken,Startup,https://agrotoken.io/en/,2020,Capital Markets,"Asset Tokenization,Securities,Commodities",Grain-backed Digital Asset for Financing & Exchange,"The first global tokenization infrastructure for agrocommodities.
We create a secure and frictionless ecosystem to make trading grains easier, more efficient and more reliable."
Trail of Bits,Startup,https://www.trailofbits.com/,2012,Cybersecurity,Auditing,Smart Contract Auditing,"Trail of Bits doesn’t just understand Blockchain security, we build industry-leading tools that find and help fix vulnerabilities. We are the leaders in smart contract security assessments and the security implications of the Solidity language, its compiler, and the Ethereum Virtual Machine."
Chainsecurity,Startup,https://chainsecurity.com/,2017,Cybersecurity,Auditing,Smart Contract Auditing,"We conduct smart contract audits since 2017. ChainSecurity works with blue chip DeFi protocols, promising new Web3 projects, central banks and large organizations."
Microsoft,Corporate,https://azure.microsoft.com/es-es/blog/ethereum-blockchain-as-a-service-now-on-azure/,,Infrastructure,"BaaS,Cloud Services",Blockchain As A Service (Azure),"Via azure supports hosting notes, can be deployed to from: Kaleido’s Blockchain Business Cloud "
SAP,Corporate,https://www.sap.com/insights/what-is-blockchain.html,,Infrastructure,"BaaS,Cloud Services","Blockchain as a Service, Intergrations","Read their stance on blockchain here: https://ignitesap.com/sap-and-blockchain/  

SAP Blockchain-as-a-Service is a means to access blockchain services provided by companies such as Hyperledger Fabric, MultiChain, and Quorum.

Through SAP blockchain components: SAP Cloud Platform Blockchain, and the SAP HANA Blockchain Service which enables enterprise blockchain platforms to connect to SAP HANA.

SAP Cloud Platform Blockchain integrates with the rest of an SAP ERP system using SAP Leonardo. This can be used for many functions such as mobile device management, shipment tracking, and wireless security networks.

More recently, in order to simplify integration SAP created the Business Blockchain Bridge (B3). This can connect many business applications with a blockchain network using APIs so that a business can perform transactions, messages and transfer virtual assets.

SAP has also been working on integrating blockchain in many ways in the SAP Business Network so that a network of trusted first, second, and third tier suppliers can collaborate more easily."
SAP Green token,Corporate,,,EnergyTech,Supply chain,Ttraceability and supply chain for materials,"RE - Not using EVM by the looks of it. 

Does not explicity state what blockchain it uses but uses ""proof of authority"" as outlined here

GreenToken by SAP is a system enabled by blockchain technology which ensures transparency of raw material usage which occurs before some products enter a supply chain. Companies are now subject to Environmental, Social and Governance legislation, like having to ensure some materials are sustainably sourced. On top of this companies may be motivated to ensure sustainable sources of materials as many consumers are keen to only buy products which are compliant with these values: whether they are written into law or not."
Splunk,Corporate,https://www.splunkdlt.com/,,Infrastructure,Blockchain Development Services,Trade Documentation for Logistics,"Bransmute digitizes trade documentation in a way that is cryptographically verifiable and traceable across an entire logistics ecosystem. The company’s approach combines decentralized identifier (DID), verifiable credential (VC), and blockchain technology with existing cloud-based systems to eliminate the paper hassle of trade docs and provide unprecedented visibility into customers’ supplier networks by effectively memorializing trade data at every step in a products’ journey from point of origin to point of import and beyond."
Alchemy,Startup,https://www.alchemy.com/,2017,Infrastructure,Blockchain Development Services,Developer tool suite and 'super nodes',Alchemy is a developer platform that empowers companies to build scalable and reliable decentralized applications without the hassle of managing blockchain infrastructure in-house.
Baseledger,Startup,https://baseledger.net/,2021,Infrastructure,Blockchain Development Services,Public-permissioned blockchain network,"A public-permissioned, council-governed blockchain network that fulfills the major requirements of enterprise organizations for participating in Baseline-enabled processes: A unified architecture ensuring service quality, data privacy and integration"
Baseline,Startup,https://docs.baseline-protocol.org/,2020,Infrastructure,Blockchain Development Services,Connect various states across blockchains,"The Baseline Protocol is the emerging standard for state synchronization across different systems of record. This standard can be applied to traditional corporate systems of record and utilize any kind of database or state machine, including different blockchains or distributed ledger technologies (DLTs)."
Tata (Quartz),Corporate,https://www.tcs.com/quartz,,Infrastructure,Blockchain Development Services,Cross-industry blockchain solutions,"Quartz DevKit – A Smart contract development kit that enables
the development of high quality code for different mainstream
Blockchain technologies"
Unibright,Startup,https://unibright.io/,2017,Infrastructure,Blockchain Development Services,Co-developing baseline,"Unibright offers consulting with Unibright Solutions, Enterprise-grade Multi-Party-Synchronization with Unibright ONE, low-code-integration tools with the Unibright Framework, programmable DeFi with Unibright Freequity, and the Universal Business Token UBT."
Fujitsu,Corporate,https://www.fujitsu.com/global/services/business-services/blockchain-dlt/,2018,Infrastructure,Blockchain Development Services,Enterprise blockchain solutions,"Detecting risks in Smart contacts? Co-create with Fujitsu and realize the benefits of blockchain and distributed ledger technologies
At Fujitsu, we are a global-scale player with credible real-world blockchain expertise, technology and resources capable of paving the way to trusted, distributed business ecosystems and business transformation. We use an agnostic approach to technology and implementation that takes into account the unique nature of your business, organization and ecosystem."
"BlockApps, Inc.",Startup,https://blockapps.net/,2016,Infrastructure,Blockchain Development Services,Enterprise blockchain platform,"STRATO is a flexible blockchain solution for building and running business networks. STRATO serves as the base layer for secure business network transactions and activity, creating a highly extensible platform for business groups to use. STRATO can be deployed on any major cloud provider and can be configured for many types business activities. STRATO is built integrate with other systems while providing clear control over data access and privacy."
Hyperledger Besu,Government,https://besu.hyperledger.org/en/stable/,,Infrastructure,Blockchain Development Services,Blockchain Infrastructure Provider,"Hyperledger Besu is an Ethereum client designed to be enterprise-friendly for both public and private permissioned network use cases. It can also be ran on test networks such as Rinkeby, Ropsten, and Görli. Hyperledger Besu includes several consensus algorithms including PoW, and PoA (IBFT, IBFT 2.0, Etherhash, and Clique). Its comprehensive permissioning schemes are designed specifically for use in a consortium environment."
